event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg,relocated_lat,relocated_lon,relocated_z_km,horizontal_shift_km,vertical_shift_km,total_shift_km,origin_time_shift_s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,sgc_rms_s,final_event_rms_s,rms_improvement_s,rms_improvement_percent,gap_class,nest_depth_class
SGC2023yteipo,7,140.0,domain_20_120,0.2071968253749915,0.2168952388223278,0.3310740877476973,-0.0899860541207751,183.534,6.854408919361483,-73.41918405927181,140.0,14.142135623730953,10.0,17.320508075688775,-0.0567490502316374,22.36067892200566,30.0,0.7217138468958374,0.7,0.2071968253749915,0.4928031746250084,70.40045351785835,gap_ge_180,deep_nest
SGC2025dpitar,6,100.0,domain_20_120,0.1597037452442618,0.2101195961857488,0.2036834621067588,0.0052377627934259,267.923,6.764577801862382,-73.96221849487077,100.0,10.0,10.0,14.142135623730953,-1.1642676260517124,22.360679774997894,40.0,1.6907659071371228,0.9,0.1597037452442618,0.7402962547557381,82.25513941730424,gap_ge_180,crustal_intermediate
SGC2023ymlbqd,6,100.0,domain_20_120,0.1939415138827543,0.1989515028352559,0.273439972068898,-0.0412309470559346,234.07,6.405253331865975,-73.60019556082159,100.0,0.0,0.0,0.0,0.0039888225657112,10.0,40.0,0.9212858081274596,0.9,0.1939415138827543,0.7060584861172456,78.45094290191618,gap_ge_180,crustal_intermediate
SGC2023aquzjv,6,120.0,domain_20_120,0.1624876390610098,0.1200436633873439,0.2414135607003036,0.0523409981417053,193.469,6.495084449365076,-73.69070129433389,120.0,0.0,0.0,0.0,0.0532172900442287,20.0,30.0,1.0348956504001643,0.8,0.1624876390610098,0.6375123609389902,79.68904511737378,gap_ge_180,deep_nest
SGC2023tagwzz,7,120.0,domain_20_120,0.2114967760252313,0.1524655883786583,0.2893629712473697,-0.0523192443740576,227.693,6.315422214366873,-73.60019556082159,120.0,0.0,0.0,0.0,-0.0280363134254031,22.360679774997894,30.0,0.9951797643728736,0.9,0.2114967760252313,0.6885032239747687,76.50035821941874,gap_ge_180,deep_nest
SGC2022zdncla,4,60.0,domain_20_120,0.9178715343247016,0.8575739331306826,1.342929820811532,0.0208700627449438,179.89499999999998,6.67474668436328,-74.23373569540765,60.0,14.142135623730953,10.0,17.320508075688775,1.6445382161020774,22.360679774997894,20.0,0.5399261853652028,0.0,0.9178715343247016,-0.9178715343247016,,gap_lt_180,crustal_intermediate
SGC2024pyionv,7,120.0,domain_20_120,0.2095586438965053,0.1850947076894089,0.3170986001442309,0.0339732848429328,193.469,6.495084449365076,-73.69070129433389,120.0,0.0,0.0,0.0,0.1295942638600031,20.0,30.0,1.1850954578658146,0.6,0.2095586438965053,0.3904413561034946,65.07355935058244,gap_ge_180,deep_nest
SGC2023wlnqql,8,30.0,domain_20_120,0.2904019919114603,0.3869191033268142,0.4191383465174894,-0.1389956453637442,210.918,7.303564506856992,-73.41918405927181,30.0,14.142135623730953,-10.0,17.320508075688775,-0.4647099041454385,14.142135623730953,30.0,0.3309046393372227,0.8,0.2904019919114603,0.5095980080885397,63.69975101106746,gap_ge_180,crustal_intermediate
SGC2023vqhrub,6,120.0,domain_20_120,0.1527129510673742,0.2021434195411182,0.1854344957065876,-0.0295518384086417,193.469,6.495084449365076,-73.69070129433389,120.0,0.0,0.0,0.0,0.0405981369149799,10.0,30.0,0.9350614278797904,0.8,0.1527129510673742,0.6472870489326258,80.91088111657821,gap_ge_180,deep_nest
SGC2023mvchuq,4,130.0,domain_20_120,0.2049983490934986,0.0901743074812269,0.3047479558541386,-0.0137479113287231,233.342,6.67474668436328,-73.60019556082159,130.0,10.000003814697266,10.0,14.142138321129512,-1.0959747969312676,20.0,40.0,1.5577757428772416,0.7,0.2049983490934986,0.4950016509065013,70.71452155807161,gap_ge_180,deep_nest
SGC2024ujupvr,7,90.0,domain_20_120,0.5878175023542767,0.9073754910499604,0.7970200785280769,0.1115733159501743,208.62699999999995,7.123902263291825,-73.78120702784618,90.0,14.142136298080542,0.0,14.142136298080542,1.173069122247021,22.360680627990146,40.0,0.8382758932430319,0.8,0.5878175023542767,0.2121824976457234,26.52281220571542,gap_ge_180,crustal_intermediate
SGC2025wvcvfj,7,50.0,domain_20_120,0.256119619361954,0.2397466784836016,0.3903110162945439,-0.0366060317855492,251.25,7.483226741855195,-74.05272422838306,50.0,10.0,-10.0,14.142135623730953,0.8023161419418621,22.360679774997894,30.0,0.6335960744973232,0.9,0.256119619361954,0.643880380638046,71.54226451533845,gap_ge_180,crustal_intermediate
SGC2023xinscn,5,120.0,domain_20_120,0.1339946261325459,0.182866201543276,0.1857916346556307,0.0253763044021191,219.767,6.584915566864178,-73.5096897927841,120.0,0.0,0.0,0.0,0.0445359482665956,14.142138321129512,30.0,0.8634910426940862,0.7,0.1339946261325459,0.566005373867454,80.85791055249344,gap_ge_180,deep_nest
