event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,relocated_x_km,relocated_y_km,relocated_z_km,relocated_lat,relocated_lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km
SGC2023cvqvao,1,4,-88.8525664388734,21.150800000000043,31.37,-86.31575012207031,13.792799949645996,40.0,7.123902263291825,-73.78120702784618,-0.577400604041872,0.7763043883094729,0.3485683153059692,7.783032941354451,8.629999999999999,11.621209135292615
SGC2023vzhsng,1,5,-62.55588988990401,-54.75088662955997,110.86,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,-1.0229876522917571,0.5748448755463552,0.20750183739319272,10.579886038615744,9.14,13.981186952118778
SGC2024pizqzk,1,5,-21.177295908437646,48.83237337043996,112.71,-26.315746307373047,63.79280090332031,110.0,7.5730578593542965,-73.23817259224722,-1.5475748329185883,0.590110499893352,0.35195323720942384,15.818282601751806,-2.7099999999999937,16.04874339220625
SGC2023rxtqtw,1,5,-94.52439826740978,52.821339999999985,42.64,-96.31575012207031,43.79280090332031,50.0,7.393395624356093,-73.87171276135847,-0.4539098428427284,0.2957959575589553,0.2149098967569201,9.204534734980857,7.359999999999999,11.785289970444898
SGC2024sjxzdg,1,5,-52.33554291183803,21.614633370440018,115.88,-56.31574630737305,23.792800903320312,130.0,7.21373338935789,-73.5096897927841,-1.149682644187493,0.3141480337311395,0.3019721405158145,4.537227443177417,14.120000000000005,14.83107659177588
SGC2022xefnvl,1,5,-63.126755380906154,-88.77770000000002,115.39,-66.31575012207031,-76.20719909667969,120.0,6.315422214366873,-73.60019556082159,-0.060302734013646386,0.28211927784396224,0.28211927784396224,12.968700028127339,4.609999999999999,13.76369428676582
SGC2022yhmsqv,1,5,-72.35269022056569,-38.31263337043996,109.0,-66.31575012207031,-36.20719909667969,110.0,6.67474668436328,-73.60019556082159,-0.2559201703646661,0.5868560996692382,0.23854134391507142,6.393551378846176,1.0,6.471282657552971
SGC2022ylfpiq,1,4,-89.0183017952737,24.453293370440026,30.52,-96.31575012207031,23.792800903320312,20.0,7.21373338935789,-73.87171276135847,-0.9207073566616684,0.8323957628191239,0.24483112822252795,7.327277965342147,-10.52,12.820273100889409
SGC2025ntpflt,1,4,-47.97117852660948,-23.803926629560017,117.57,-46.31574630737305,-16.207199096679688,110.0,6.854408919361483,-73.41918405927181,0.7788456588860377,0.2806489052109123,0.07656087182692037,7.775006433521976,-7.569999999999993,10.851526392232017
SGC2024plglxp,1,4,-53.3115396423437,46.14214000000003,111.98,-46.31574630737305,33.79280090332031,110.0,7.303564506856992,-73.41918405927181,0.4979671155743315,0.5824358676041094,0.24337630349974712,14.193213184843035,-1.980000000000004,14.330655969298899
