event_id,n_picks,depth_km,azimuthal_gap_deg,min_local_rms_s,candidate_nodes,accepted_nodes_delta_0p20s,accepted_nodes_delta_0p10s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,horizontal_uncertainty_0p10_km,depth_uncertainty_0p10_km,origin_time_uncertainty_0p10_s
SGC2025cjjmvs,6,130.0,116.22600000000003,0.46832655179620414,125,15,8,14.14213494938139,40.0,1.3219673413089967,10.0,40.0,1.380357647801787
SGC2023yvmywq,7,120.0,218.683,0.20919905780497156,125,17,9,22.360679774997898,40.0,1.0709374687588313,22.360679774997898,40.0,0.8864162016858074
SGC2025srjpur,6,120.0,143.86599999999999,0.1352577426973556,125,7,5,9.999999046325684,40.0,1.305314160276662,9.999999046325684,30.0,1.093556385418702
SGC2026bzjgfr,8,140.0,178.359,0.24359306467958203,125,17,10,14.142135623730951,40.0,1.3227217739569914,14.142135623730951,30.0,1.2621445976099182
SGC2024eeisrd,5,140.0,247.197,0.15222385483506695,125,20,6,22.360679774997898,40.0,1.5076429708093817,10.0,40.0,1.4463139687121018
SGC2023rvemmr,7,140.0,126.30099999999999,0.12009322836396408,125,6,3,14.14213494938139,20.0,0.8025436922622105,0.0,20.0,0.7897303458163741
SGC2024rpekmy,7,150.0,126.30099999999999,0.3533188945173334,125,18,4,22.36067892200566,40.0,1.3764696556750347,9.999999046325684,30.0,1.1650138756236808
SGC2023vqaqcz,7,110.0,219.75100000000003,0.1836632451071301,125,8,3,14.142135623730951,30.0,0.6485127043185881,14.142135623730951,20.0,0.4328431340712509
SGC2024oiqinc,6,140.0,167.57,0.14221185674549375,125,9,4,10.0,40.0,1.289323689499383,0.0,30.0,1.1706227577163981
SGC2024cqmvow,6,170.0,124.66199999999998,0.3547453728799802,75,16,11,28.284270910287116,20.0,0.9342001749491284,14.142135623730951,20.0,0.8713058945958585
SGC2023qzbzzb,7,130.0,219.75100000000003,0.10660568913009529,125,9,2,14.142135623730951,40.0,1.0684102665212256,0.0,10.0,0.30882066907427586
SGC2025yynyab,8,150.0,168.58599999999996,0.288219903824993,125,17,8,10.0,40.0,1.5056530710142308,10.0,30.0,1.1733390173656277
SGC2023ygsdxh,7,160.0,212.13200000000003,0.4199532760233412,100,23,8,28.284270910287116,30.0,0.9924904371802438,22.36067956174984,20.0,0.5605320629057334
SGC2024uxiqye,5,140.0,206.69000000000003,0.0699527644226988,125,8,3,22.360679774997898,30.0,1.0545873157490488,0.0,20.0,0.8889048883269689
SGC2022rfeklc,8,130.0,185.529,0.3416174269823342,125,22,11,20.0,40.0,1.3112310325143137,14.142135623730951,40.0,1.3034411187565933
SGC2022zakhcj,7,150.0,203.69500000000002,0.14429730601675025,125,10,4,22.360679774997898,40.0,1.184151910021434,0.0,30.0,1.0679036906049617
SGC2024wgqvro,4,120.0,134.97500000000002,0.25892514690687923,125,12,5,14.14213494938139,40.0,1.4187751917355842,10.0,40.0,1.4921092400609501
SGC2024anrnbh,6,170.0,231.03700000000003,0.3141294924210833,75,22,13,22.36067956174984,20.0,0.9384063114117146,22.36067956174984,20.0,1.0015318022688353
