event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2023lrxsdt,0.510080718966034,0.7004200945927904
SGC2023lzkdnd,0.3388672699775827,0.3872223517851877
SGC2023meafvp,0.20700126372585576,0.2936920842447751
SGC2023mfywrl,0.15838552476731352,0.08674280218278525
SGC2023mlmecb,0.09230531289404713,0.22155024181903338
SGC2023mmdzfg,0.14678109394314037,0.2223301957126096
SGC2023mpvgdo,0.1856703371125933,0.25909104678465195
SGC2023mrdmvq,0.2625625834589221,0.26181909394583475
SGC2023mrxuju,0.06599643314070185,0.30381661510165864
SGC2023murazu,0.13546748964957703,0.25932067898290156
SGC2023mvchuq,0.20499834909349865,0.32174671035048535
SGC2023mxsglw,0.4598569758177209,0.6103958162362331
SGC2023nknfaz,0.07126055506688136,0.26860845721929055
SGC2023nljykm,0.06127281020363299,0.07144862334498994
SGC2023nsnaqu,0.2048388663376887,0.2955634068055417
SGC2023ogquup,0.275758459992012,0.36028374169332195
SGC2023oooqqs,0.1932973405209689,0.30744576529731094
SGC2023oquzqc,0.17003575649603384,0.3551810915435033
SGC2023osfhcx,0.21382794784407877,0.363802472901266
SGC2023pajsbo,0.1298762567037438,0.29318584485560734
SGC2023pewlur,0.43141143943282145,0.5926733550901827
SGC2023phevtw,0.0863441811754831,0.14228209552357005
SGC2023pjccvh,0.6164184455423345,0.4973411584050978
SGC2023pjziio,0.21471116969900472,0.20400192851696702
SGC2023pmbdza,0.24243386453681182,0.3382128659161396
SGC2023povrph,0.24416145460596358,0.36811943433942507
SGC2023pszvnl,0.08755438444525061,0.11211618177324739
SGC2023pvpgco,0.1425390385994182,0.21706870624232402
SGC2023pwjeab,0.23035737864584915,0.3977069320207421
SGC2023pxexqp,0.3460313751240547,0.5860456587598201
SGC2023pxypgd,0.1165052045369686,0.05690501715922608
SGC2023pzreah,0.1963203440895005,0.2779545141866103
SGC2023pzycxu,0.26298465738708793,0.32992137007092137
SGC2023qbzxlp,0.5167489211022259,0.37632776949653884
SGC2023qduqac,0.22907146910300255,0.31550181089746787
SGC2023qezeyr,0.4371783950160909,0.4339126026431698
SGC2023qgxtzi,0.24370499337917143,0.24505954169126978
SGC2023qjidkv,0.29907410847067734,0.25298899732120655
SGC2023qkdtyo,0.21424865378582122,0.46959357780292127
SGC2023qkgwlz,0.1330706995601375,0.25525505801573306
SGC2023qkjjah,0.9285934486741858,1.045779247423147
SGC2023qknmrv,0.813345870542559,0.8310165858983066
SGC2023qlunbz,0.07239162805161807,0.34855872562465223
SGC2023qlzcry,0.18450365206095082,0.1664475577252825
SGC2023qnydcm,0.18950415859770997,0.2351751743641311
SGC2023qoiotx,0.5771820896290057,0.5820006182999622
SGC2023qposof,0.24572789374244106,0.2631243204227869
SGC2023qpxusz,0.29760375010671175,0.4663312608082586
SGC2023qqaqaj,0.18154939368595863,0.13327919890843956
SGC2023qqbkoz,0.2619960966423849,0.33909643686620133
SGC2023qqlxvw,0.24883016762078067,0.10984131282368041
SGC2023qqxpif,0.7552876444478378,1.0570790261055143
SGC2023qrpkqd,0.2730967709830616,0.2945588987543397
SGC2023qrteiy,0.8300657664597708,0.7695999925892647
SGC2023qskwsy,0.16652127127823824,0.20695880957542742
SGC2023qstwav,0.22776368241942618,0.3422367080181008
SGC2023qtcgzw,0.25703488344206155,0.3245032552642274
SGC2023qtjdxp,0.14740980143525267,0.3431234730240694
SGC2023quebrm,0.3511595011411897,0.31380060298417517
SGC2023qvlpaa,0.28491172789480007,0.3396759235223215
SGC2023qwlznn,0.85688576921209,0.8711887708129558
SGC2023qxoaid,0.10733153609156101,0.06463223988347705
SGC2023qylyeu,0.129564118667065,0.24158329594301417
SGC2023qzbzzb,0.23265886075279957,0.21153940127696616
SGC2023rbgtxe,0.6404299191916142,0.6328082139960428
SGC2023rdpyow,0.31510786981378885,0.48236979397952473
SGC2023rdxgtm,0.429529986607368,0.28921099913917125
SGC2023rhnkoq,0.43410432122709747,0.21581351202352486
SGC2023rhwust,0.2109041894049828,0.11277298941226199
SGC2023rikani,0.19279248196852528,0.3144501026625465
SGC2023rirsqn,0.1980156076065935,0.41314394229552653
SGC2023rjdynh,0.30343486320396107,0.14742052891229016
SGC2023rjriks,0.2210155118122186,0.17176219363465642
SGC2023rkahnb,0.16819145308800912,0.15826871803874448
SGC2023rkngne,0.5225587103849204,0.4628950331862878
SGC2023rkrvac,0.6077926628375436,0.5004503678875072
SGC2023rmgsfv,0.15226671243812331,0.19321730023913988
SGC2023rmvidz,0.13386060948969375,0.33414253711460135
SGC2023rogrxi,0.18317763727479364,0.32308862320167603
SGC2023rsofst,0.12071847458664493,0.23678944839617894
SGC2023rtippf,0.09663530907322031,0.1405496522377229
SGC2023ruhqdg,0.17620951797186196,0.13766244778415745
SGC2023rutjjx,1.1203178453550964,1.0133574633293188
SGC2023rvemmr,0.20069542669004323,0.41192842293493687
SGC2023rwscaf,0.2393300491586099,0.24096964719777694
SGC2023rwvfdc,0.38461606871640874,0.5650921028601527
