event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg
SGC2024cneajl,4,40.0,domain_20_120,0.1809083450851133,0.06213525872194534,0.2649094732921409,0.065909126225474,272.841
SGC2022wvatxu,4,110.0,domain_20_120,0.205037251684847,0.23843086255600288,0.26463747703569496,-0.016978037909574098,169.99099999999999
SGC2026dyiksr,4,110.0,domain_20_120,0.23597932776817834,0.2291375990532863,0.31745540764542285,0.07741509679245695,160.03400000000002
SGC2024plqdlm,4,130.0,domain_20_120,0.3709741417031905,0.42735483784015155,0.4748979743859515,-0.04276262484754054,233.01600000000002
SGC2026bkcxyi,4,120.0,domain_20_120,0.2258795672082711,0.25153265794890517,0.3278300920716152,0.0737171102566138,152.54500000000002
SGC2023vxqrtd,5,110.0,domain_20_120,0.1453209384504343,0.06012751461077291,0.21602257900066277,-0.0932447718486599,200.784
SGC2024ncmexx,4,100.0,domain_20_120,0.20588807060827527,0.18358777008053279,0.2967818969971472,-0.03391047638891109,207.24100000000004
SGC2025tvctbl,4,110.0,domain_20_120,0.13882315213950458,0.1407385737292214,0.16647961207386072,0.05983727931111375,193.469
SGC2026brkwnu,4,130.0,domain_20_120,0.19800678271326488,0.028647051910170217,0.2920624915020192,-0.040695935297140495,177.74899999999997
SGC2023murazu,4,80.0,domain_20_120,0.13546748964957703,0.09573803624836426,0.18009630965797532,0.06640565457718135,193.86400000000003
SGC2025jbwyuu,4,40.0,domain_20_120,0.3477295152827876,0.33736108304423895,0.4808079190338939,0.047254232748505445,278.79100000000005
SGC2024civevk,5,140.0,domain_20_120,0.28953737217765885,0.10922010262440796,0.44777900994961045,0.0832372461680002,222.452
SGC2025txacav,5,120.0,domain_20_120,0.15245720196228377,0.1888643414812193,0.1959100258094061,0.0403083201112366,159.08500000000004
SGC2022wxgxlt,4,20.0,domain_20_120,0.0834044203041754,0.007747924196241766,0.09976271139520888,-0.09407075428534961,213.15300000000002
SGC2026abkrcj,5,90.0,domain_20_120,0.5571319781064811,0.37445484549868,0.8565579894110371,0.093880808503469,119.04400000000001
SGC2022ympqby,5,20.0,domain_20_120,0.4938876983274079,0.33298119234544127,0.7263622869076087,-0.0339972139395463,125.78899999999999
SGC2024ncfxus,5,20.0,domain_20_120,0.5501601588361948,0.25895747572880645,0.855298439423136,-0.1253817597349975,167.89499999999998
SGC2026btftkx,4,80.0,domain_20_120,0.2574499877829381,0.3105836374937101,0.3210193501611927,0.10941930176728046,188.406
SGC2026ervxru,4,110.0,domain_20_120,0.12428551430868907,0.11568273060324763,0.17688791006788077,0.06083213366523395,144.71000000000004
